expertise_group,player_index,within_group_index,sensitivity_mode,target_name,block_index,xa,ya,xb,yb,n_fixation,fallback
professional,2,2,habitual,slg,1,0.9908895642871961,1.0247424304423354,0.0034383207385842805,0.009643617580709241,29,0
professional,2,2,habitual,flg,0,0.9516940805098473,0.963061667003509,-0.0010256996736160689,0.0075908815462541746,29,0
professional,2,2,habitual,flg,1,0.9693627694386802,1.0424130332010646,-0.003053043029366193,0.009443113452991956,29,0
professional,2,2,default,ssw,0,0.9331560968276789,0.935135367685804,-0.0031669394590480514,0.005029891384443914,29,0
professional,2,2,default,ssw,1,0.9862303642372284,0.9556989881336818,-0.0032352531225226205,0.008450792097868826,29,0
professional,2,2,default,fsw,0,0.9634344877936055,0.9384335981632665,-0.004041021939546862,0.005986750782248323,29,0
professional,2,2,default,fsw,1,1.0117812652807134,0.9273637571279465,-0.004729814852606311,0.006869421209835294,29,0
professional,2,2,default,slw,0,0.9716791292151705,0.9608751944528182,-0.00017860388049462106,0.010148621044190894,26,0
professional,2,2,default,slw,1,0.9788531893575303,0.9959541339529323,-0.00010345399757073596,0.0056938654273328785,29,0
professional,2,2,default,flw,0,0.9703836310636387,0.9817029030293316,-0.0014150495945211708,0.004460790192924717,29,0
professional,2,2,default,flw,1,0.9471018651295267,1.0024025130701144,-0.0012859471236415293,0.008397155134211133,29,0
professional,2,2,default,svsw,0,0.9579715672503999,0.9468504679672728,-0.002354396432100382,0.006868563324077483,29,0
professional,2,2,default,svsw,1,0.9723800704042798,0.9869481936436121,-0.001362808685808026,0.007217487881975281,26,0
professional,2,2,default,ssg,0,0.9453591428458852,0.9479423687517128,0.00018112927945321353,0.005436148269928748,29,0
professional,2,2,default,ssg,1,0.9378605419574245,0.9546236845925203,-0.004276604742522993,0.004753217253268027,29,0
professional,2,2,default,fsg,0,0.958112460284085,0.9619545565026651,-0.0006544734208363892,0.007482600825764824,26,0
professional,2,2,default,fsg,1,0.9414121945317078,0.9812130560870134,0.0008581574544397532,0.0016619968056592244,29,0
professional,2,2,default,slg,0,0.9690800850459893,0.9670955222586044,-0.002015282476184049,0.009634437877794208,29,0
professional,2,2,default,slg,1,0.940684604498222,0.9471266186312703,0.00012970612176378161,0.005657131686133101,29,0
professional,2,2,default,flg,0,0.9359547758114738,0.9683917560312532,-0.004025331340205843,0.005573012536273215,29,0
professional,2,2,default,flg,1,0.9585204371522205,0.9235605563470536,-0.0010838112282161145,0.012678979970937471,26,0
professional,3,3,habitual,ssw,0,0.8983149680810396,0.8714160552732131,-0.008146184606928453,0.018264881510481397,19,0
professional,3,3,habitual,ssw,1,0.8500472923766303,0.98453159794407,-0.0032950882924871316,0.01185331085490366,29,0
professional,3,3,habitual,fsw,0,0.9141268571603588,0.9201971772820331,-0.005815251431991282,0.025567169303763706,28,0
professional,3,3,habitual,fsw,1,0.8904397975139982,0.8807804776152963,-0.005359638237720973,0.013881262044474802,29,0
professional,3,3,habitual,slw,0,0.8833898865736269,0.923991583754147,-0.0026634650516519347,0.01968441637040684,26,0
professional,3,3,habitual,slw,1,0.8398111411605562,0.9265965925920455,-0.00509997719417551,0.011144448019191018,29,0
professional,3,3,habitual,flw,0,0.8810190673773337,0.8606833755393775,0.0006904876785935286,0.02062975451085053,18,0
professional,3,3,habitual,flw,1,0.8478821590403738,1.0540553872986023,-0.0018304536892421392,0.008219885408623687,29,0
professional,3,3,habitual,svsw,0,0.9037147074585794,0.9186222555398109,-0.006382775547377292,0.01284428389082662,29,0
professional,3,3,habitual,svsw,1,0.8909811764814614,0.983947269098727,-0.010562292732371376,0.011882505641392455,22,0
professional,3,3,habitual,ssg,0,0.9093224786863761,0.9012550152870574,-0.008947511503476176,0.019633472941863142,29,0
professional,3,3,habitual,ssg,1,0.8896953240971099,0.9041510678907745,-0.0038641782777289373,0.02293896303606204,19,0
professional,3,3,habitual,fsg,0,0.8929600928905923,0.868565010165802,-0.007287533850876245,0.016309643042643537,29,0
professional,3,3,habitual,fsg,1,0.9359412716087461,0.931960717858046,-0.007418572366564197,0.01955945672852228,26,0
professional,3,3,habitual,slg,0,0.9066838910561515,0.8915324047449932,-0.008178567845469682,0.023998205348512165,21,0
professional,3,3,habitual,slg,1,0.9481430879013322,0.8354383719438345,-0.013973429678517765,0.023106022974372423,11,0
professional,3,3,habitual,flg,0,0.9195093797544899,0.9084727710749352,-0.004064770659768778,0.02263757878285248,29,0
professional,3,3,habitual,flg,1,0.899821719601974,0.8321955932512015,-0.010995671305379246,0.021577135931206838,24,0
professional,3,3,default,ssw,0,0.9391746402451713,1.030006676522918,-0.004971554760766311,0.018778862938006576,29,0
professional,3,3,default,ssw,1,0.872913594084508,0.9321179932219892,-0.0013735945956815654,0.01238081065390622,29,0
professional,3,3,default,fsw,0,0.9058680185951191,1.0342984945427913,-0.011131827940874334,0.01673417010625172,15,0
professional,3,3,default,fsw,1,0.8954709445641302,0.9813549750407063,-0.012465686375470604,0.009799950098074784,29,0
professional,3,3,default,slw,0,0.9022283205782551,0.9453205089491169,-0.0005303915535544469,0.011968593541855652,22,0
professional,3,3,default,slw,1,0.8931764920944762,0.9837264001551598,-0.007403818506752541,0.02666621236012715,22,0
professional,3,3,default,flw,0,0.8915775342822478,0.9195141487980976,-0.00042965478130215125,0.019231377451125038,17,0
professional,3,3,default,flw,1,0.8997306464173946,1.0020082375743724,-0.0031563601358637425,0.015081699388695677,26,0
professional,3,3,default,svsw,0,0.9199201093016282,0.9593152499594344,-0.014250717000739606,0.018896169058067982,22,0
professional,3,3,default,svsw,1,0.8542861450040697,0.9886449443346152,0.004512676090069137,0.013225824006409334,19,0
professional,3,3,default,ssg,0,0.899627286696623,1.0438415723887149,-0.00694472411804096,0.02470663867866275,29,0
professional,3,3,default,ssg,1,0.9020848963606384,0.9049749999481382,-0.006469671174154249,0.009854000089766828,21,0
professional,3,3,default,fsg,0,0.871098560341949,0.8216946376760217,-0.0055909801688295655,0.030041141526117462,18,0
professional,3,3,default,fsg,1,0.9051202245710284,0.8693360069118939,-0.007117115693787941,0.013335799416153947,19,0
professional,3,3,default,slg,0,0.9025424659266235,0.9106573547299479,-0.0041942348976102915,0.016787768481218754,29,0
professional,3,3,default,slg,1,0.9344596035925538,0.9056035582240164,-0.003188169614152669,0.030582477378884903,15,0
professional,3,3,default,flg,0,0.907455691800939,0.9584953114737186,-0.010138854574701865,0.013120078641654315,19,0
professional,3,3,default,flg,1,0.9782791367369863,1.0163428720148606,-0.009773136280582125,0.015313005306495844,19,0
professional,4,4,habitual,ssw,0,0.9218193954652674,0.8938231087873134,0.007382509117502613,0.01857663731490414,29,0
professional,4,4,habitual,ssw,1,0.9195003423842597,0.9080260959859483,0.004338206943655798,0.023834085642054078,29,0
professional,4,4,habitual,fsw,0,0.9152083911614016,0.9183423541320573,0.008547397004613424,0.01762567490204969,29,0
professional,4,4,habitual,fsw,1,0.9304457653302627,0.8574733443691147,0.0031709757422496675,0.022093802670556877,26,0
professional,4,4,habitual,slw,0,0.9298761193909365,0.8978839667348004,0.006469503538060965,0.020895921313931212,29,0
professional,4,4,habitual,slw,1,0.9234049186641804,0.9527287387412684,0.0044079590854644015,0.01957146417936907,29,0
professional,4,4,habitual,flw,0,0.9266697722587748,0.8430833102834566,0.007309431229139456,0.01769283531215383,29,0
professional,4,4,habitual,flw,1,0.9089876596462153,0.9714777996355045,0.00528167587131081,0.014250252974978466,26,0
professional,4,4,habitual,svsw,0,0.9461665799173714,0.8844179412631397,0.007635033656722056,0.020282632937195736,29,0
professional,4,4,habitual,svsw,1,0.9222059252309707,0.8534611803219417,0.007609513578117755,0.021893897282227646,29,0
professional,4,4,habitual,ssg,0,0.9483002967098112,0.8539015350901311,0.0030702732478247157,0.012939902242185839,25,0
professional,4,4,habitual,ssg,1,0.9066109042041081,0.8925504206592595,0.0052990639443490145,0.02520055162143857,28,0
professional,4,4,habitual,fsg,0,0.948010401065466,0.8795127752581908,0.008080641468513025,0.019867234365013524,26,0
professional,4,4,habitual,fsg,1,0.9255153089818218,0.9879265328231276,0.0061531217692837314,0.0225328476601256,29,0
professional,4,4,habitual,slg,0,0.9493096662602871,0.8682450863860494,0.008952880678291813,0.021644843852965646,22,0
professional,4,4,habitual,slg,1,0.9311787628963153,0.8735546508649549,0.0052875447178095765,0.02054423444488228,29,0
professional,4,4,habitual,flg,0,0.9132239290446837,0.8766573975369487,0.006349231578491606,0.017892886037167346,29,0
professional,4,4,habitual,flg,1,0.9430059329352605,0.8867909685058624,0.005159667268051418,0.021224451853034412,28,0
professional,4,4,default,ssw,0,0.909678428602276,0.8715008767050557,0.003594486794766571,0.022588216905182448,26,0
professional,4,4,default,ssw,1,0.9156237140157353,0.8911896351703191,-0.003441837374425175,0.00812573223496583,29,0
professional,4,4,default,fsw,0,0.906087780131354,0.8573300691541864,0.004417717786583949,0.013399845382824046,29,0
professional,4,4,default,fsw,1,0.9290193657848521,0.8874572398090422,0.00770607204439148,0.014898248197708708,29,0
professional,4,4,default,slw,0,0.9145746981475971,0.8716279340610104,-0.00021792845566979881,0.01081174407741195,29,0
professional,4,4,default,slw,1,0.9046466012698878,0.9005042022414281,0.0049424704767131985,0.013334472524844373,29,0
professional,4,4,default,flw,0,0.909438181970859,0.8638561347185005,0.005206258455821316,0.016902928584267368,26,0
professional,4,4,default,flw,1,0.9578703883642816,0.9403458473762673,0.00489426801062698,0.013942434313713462,26,0
professional,4,4,default,svsw,0,0.9268853141068795,0.9267980489272077,0.011960798853281503,0.025798475836705907,29,0
professional,4,4,default,svsw,1,0.9233522891742512,0.8596156977170518,0.009336783501811,0.021051860099728075,22,0
professional,4,4,default,ssg,0,0.9068849573472431,0.89216039097482,0.01130395632835976,0.017408228809372213,28,0
professional,4,4,default,ssg,1,0.9348946030150467,0.9293456360373122,0.0050580517513171405,0.021133181903142242,29,0
professional,4,4,default,fsg,0,0.9377566775226815,0.877511804673694,0.00813886807792288,0.014936986598615094,29,0
professional,4,4,default,fsg,1,0.9449304822977781,0.9165461591791266,0.008738588169956596,0.019430211188155404,26,0
professional,4,4,default,slg,0,0.9211612793588349,0.8978044811508427,0.01069436340594633,0.016097890520940936,29,0
professional,4,4,default,slg,1,0.9015327231301671,0.917915281471993,0.00855451032857785,0.016991530508058326,29,0
professional,4,4,default,flg,0,0.9080242687111724,0.8722133792491144,0.010699619332756122,0.018784033767935727,29,0
professional,4,4,default,flg,1,0.9217332170802898,0.9062589016162147,0.007817369147897928,0.022450135482483407,29,0
professional,5,5,habitual,ssw,0,0.9138266815626075,0.8982588196173508,0.0005314022758635935,0.010788840486028795,29,0
professional,5,5,habitual,ssw,1,0.8841664960679979,0.9017920740320452,0.00047495158321268945,0.006885631960209139,29,0
professional,5,5,habitual,fsw,0,0.9028554582357402,0.8992118679690783,-0.0021866863277071307,0.00637240485437535,29,0
professional,5,5,habitual,fsw,1,0.8995137081855807,0.8944402447856075,-0.0006940542830290867,0.009773709190413348,29,0
professional,5,5,habitual,slw,0,0.8879350061931385,0.8969217085526875,-0.00216092609114455,0.008754709163614607,29,0
professional,5,5,habitual,slw,1,0.9330273187149223,0.8860633813209966,0.0020760642755730876,0.008238388014535573,26,0
professional,5,5,habitual,flw,0,0.9057321105631903,0.9008298138941164,-0.000996866823556296,0.008784552395322033,29,0
professional,5,5,habitual,flw,1,0.9187502634791503,0.8528394906100818,0.0017047780538321888,0.008649374315744501,26,0
professional,5,5,habitual,svsw,0,0.9023250735136416,0.8973549230941906,-0.0014226614905065082,0.008815014573083868,29,0
professional,5,5,habitual,svsw,1,0.9193170363884158,0.8987765474795462,-0.0014583649234881386,0.00965703726049306,29,0
professional,5,5,habitual,ssg,0,0.9091006279507448,0.8464742391277413,0.0007880716122592038,0.011474934823899136,26,0
professional,5,5,habitual,ssg,1,0.9162226715636362,0.9048095047477258,-0.0009862391398173733,0.007108399321695026,27,0
professional,5,5,habitual,fsg,0,0.9415297897767654,0.8439689318566834,-0.0004132939899750025,0.008473360713971388,28,0
professional,5,5,habitual,fsg,1,0.9117749727994338,0.8691910378846511,0.0011936837032915995,0.012363256962337477,29,0
professional,5,5,habitual,slg,0,0.9392016460754934,0.8386325662132343,-0.00017823154301045262,0.008202003332467973,29,0
professional,5,5,habitual,slg,1,0.9001998979518308,0.863338878455106,-0.0025700468771456737,0.00914784284269894,29,0
professional,5,5,habitual,flg,0,0.9007356525717221,0.8442126283251382,0.0012926107236351757,0.009660539876773684,29,0
professional,5,5,habitual,flg,1,0.9005473941737723,0.8751908408099789,-0.001454271774119391,0.012124711926918916,29,0
professional,5,5,default,ssw,0,0.913229615050578,0.8789476765707155,-0.0037154618688824284,0.005869604108703091,26,0
professional,5,5,default,ssw,1,0.9144475830097759,0.9380464050734355,-0.0009571928505357069,0.0001291705252795916,26,0
professional,5,5,default,fsw,0,0.9030894646030676,0.9271124541577991,-0.0026271054102579927,0.005595698886566337,29,0
professional,5,5,default,fsw,1,0.8988834821678838,0.8737196965478169,0.0003872365539041153,0.0015959335448017232,29,0
professional,5,5,default,slw,0,0.8913525230398842,0.865517879390283,-0.001500645535590226,0.0037863913714064295,29,0
professional,5,5,default,slw,1,0.9109344123105982,0.8796770490147179,-0.0019481115871254019,0.003159615558247967,29,0
professional,5,5,default,flw,0,0.9102279207045962,0.9002447967728566,-0.0022296725772648442,0.00013626739788538504,28,0
professional,5,5,default,flw,1,0.8913362913264284,0.864560128351352,0.0007581206760482618,0.0024577171205443864,28,0
professional,5,5,default,svsw,0,0.9017062183566649,0.8949015703084139,-0.003917273925364685,0.0036134712165860105,29,0
professional,5,5,default,svsw,1,0.9139645156864115,0.8785809340802606,0.00422019913788356,0.009664493007135297,26,0
professional,5,5,default,ssg,0,0.9077615300532882,0.8486054182014281,-0.0019070903409987953,0.007048613893696423,28,0
professional,5,5,default,ssg,1,0.9125704292009806,0.8897730744598028,-0.0004570774736122338,0.009271227658681403,28,0
professional,5,5,default,fsg,0,0.9150169835552409,0.9320550309911588,-0.0017611468068275586,0.0020010408205646036,29,0
professional,5,5,default,fsg,1,0.9038919340631225,0.8566229189422983,0.00021337611093432286,0.0059016579936554975,29,0
professional,5,5,default,slg,0,0.9087572341696525,0.9396394464825504,0.0002002195616523086,0.004979500359066923,25,0
professional,5,5,default,slg,1,0.8934764617619984,0.9004247458269979,0.0003053739978159994,0.00452666713436745,29,0
professional,5,5,default,flg,0,0.9019414370717672,0.9088206050669592,-0.0006773563249974669,0.007737380888756201,29,0
